_id,competence,type,question,answer,modification
156,ОПК-2,З,"Какой метод использован при доказательстве следующей теоремы? Теорема. Любое дерево на n >= 2 вершинах содержит 2 висячие вершины. Доказательство. Рассмотрим цепь наибольшей длины, обратившись к любой из её концевых вершин (A). Если степень A отлична от 1, то существует вершина B, смежная с A и отличная от вершины, смежной с A в цепи. Если B не принадлежит цепи, то цепь не максимальна, что противоречит условию. С другой стороны, B не содержится в цепи, так как это ведёт к образованию цикла в дереве.",Доказательство от противного,rb
157,ОПК-2,З,Что происходит с диаметром графа при удалении ребра?,увеличивается или остается прежним,rb
158,ОПК-2,З,Необходимое условие теоремы Холла есть непосредственное следствие принципа:,Дирихле,rb
159,ОПК-2,З,Какой граф G называется k-раскрашиваемым?,"пусть граф G не имеет петель; тогда G называется k-раскрашиваемым, если каждой его вершине можно приписать один из k цветов таким образом, чтобы никакие две смежные вершины не оказались одного цвета",rb
160,ОПК-2,З,В связном взвешенном графе для каждой вершины выбрано одно инцидентное ей ребро наибольшего веса. Какие из следующих утверждений верны?,"некоторые из выбранных ребер могут образовать цикл|если веса всех ребер графа различны, то выбранные ребра образуют лес",cb
161,ОПК-2,З,Что называется путем от v_1 до v_2 в графе?,"путем от v_1 до v_2 в графе называется такая последовательность ребер, ведущая от v_1 к v_2, в которой каждые два соседних ребра имеют общую вершину и никакое ребро не встречается более одного раза",rb
162,ОПК-2,З,Какое распределение степени узлов имеет сеть Эрдеша - Реньи?,Пуассона,rb
163,ОПК-2,З,Распределение степеней узлов – это?,функция описывающая зависимость доли узлов сети имеющих определенную степень от этой степени,rb
164,ОПК-2,З,Кратчайший путь между узлами – это?,"количество шагов, которые необходимо сделать, чтобы по существующим ребрам добраться от одного узла до другого",rb
165,ОПК-2,З,Посредничество (betweenness) – это?,"параметр, показывающий, сколько кратчайших путей проходит через данный узел",rb
166,ОПК-2,З,Плотность сети – это?,среднее число связей приходящиеся на один узел данной сети,rb
167,ОПК-2,З,"Какой метод использован при доказательстве следующей теоремы? Теорема. Двудольный граф не содержит циклов нечётной длины. Доказательство. Любому циклу двудольного графа соответствует последовательность вида a(1)b(1)a(2)b(2)…a(1), где a(i) и b(i) - вершины первой и второй долей. Указанная последовательность содержит нечётное число элементов, что соответствует чётной длине цикла.",Конструктивное доказательство,rb
168,ОПК-2,З,Степень узла – это?,"количество ребер графа, которые входят в узел или выходят из него",rb
169,ОПК-2,З,Основой теории сложных сетей является?,теория графов,rb
170,ОПК-2,З,Что происходит с диаметром графа при удалении вершины?,"может увеличиться, уменьшиться или остаться прежним",rb
171,ОПК-2,З,Свойство матриц инцидентности: при сложении всех элементов в столбце всегда получается это число. (введите число),2,wb
172,ОПК-2,З,Что происходит с радиусом графа при добавлении нового ребра?,уменьшается или остается прежним,rb
173,ОПК-2,З,"Как называется граф, в котором некоторые рёбра могут быть ориентированными, а некоторые — неориентированными? (введите одно слово)",смешанный,wb
174,ОПК-2,З,Как растет средний кратчайший путь в случайном графе?,медленно растет как логарифм от числа узлов,rb
175,ОПК-2,З,Какой граф называется двудольным?,"в терминах раскраски вершин графа двумя цветами, скажем красным и синим, граф называется двудольным, если каждую его вершину можно окрасить красным или синим цветом так, чтобы любое ребро имело один конец красный, а другой - синий|если множество вершин графа можно разбить на два непересекающихся подмножества V1 и V2 так, что каждое ребро в G соединяет какую-нибудь вершину из V1 с какой-либо вершиной из V2, тогда G называется двудольным графом",cb
176,ОПК-2,З,Коэффициент кластеризации – это?,"коэффициент кластеризации показывает, сколько ближайших соседей данного узла являются также ближайшими соседями друг для друга",rb
177,ОПК-2,З,Клики – это?,"подгруппы или кластеры, в которых узлы связаны между собой сильнее, чем с членами других клик",rb
178,ОПК-2,З,Что называется ориентированным полным графом?,"полным ориентированным графом называется граф, каждая пара вершин которого соединена в точности одним ориентированным ребром",rb
179,ОПК-2,У,"В графе, показанном на рисунке, удалить вершину х_1. Возможный результат представлен ниже в матричном виде. Составьте получившуюся матрицу.","         x_2    x_3

x_2     0       1

x_3     1       0",tb
180,ОПК-2,В,"Для сети на рисунке таблица содержит геодезический путь каждого узла к мошенническим узлам, а также количество прыжков в сторону мошеннических узлов. Теоретический центр графа на рисунке это узел А, который наиболее удален ото всех других узлов в сети, это значит, что узел А это наиболее влиятельный узел сети. В случае, если центральный узел сети подвержен мошенничеству, оно может быстро распространиться по всей остальной части сети. Восполните пробелы в таблице (слева направо, затем сверху вниз).","Пробелы в табице слева направо, затем сверху вниз: 2, 2, 2, 2.",tb
181,ОПК-2,У,"По матрице смежности, данной ниже, подсчитать количество петель графа.",Количество петель графа равно трём.,tb
182,ОПК-2,В,"В таблице определён реляционный классификатор для сети на рисунке. Восполните пробелы в таблице (слева направо, затем сверху вниз).","Пробелы в табице слева направо, затем сверху вниз: 0, 0, 0, 0.",tb
183,ОПК-2,В,"В таблице указаны степени узлов для сети на рисунке. Восполните пробелы в таблице (слева направо, затем сверху вниз).","Пробелы в табице слева направо, затем сверху вниз: 3, 3, 3, 3.",tb
184,ОПК-2,У,"Какие из приведенных  на рисунке графов являются симметрическими? (введите латинские строчные буквы; если букв несколько, введите их через запятую без пробелов)","Симметрическими являются графы a, c, d.",tb
185,ОПК-2,У,"По матрице смежности, данной ниже, подсчитать полустепень захода второй вершины.",Полустепень захода второй вершины равна двум.,tb
186,ОПК-2,У,Какие из приведенных на рисунке графов являются полными?,Полными являются графы a и c.,tb
187,ОПК-2,В,"В таблице указаны значения промежуточности для узлов сети на рисунке. Восполните пробелы в таблице (слева направо, затем сверху вниз).","Пробелы в табице слева направо, затем сверху вниз: 104, 0, 34, 0.",tb
188,ОПК-2,В,Один из рисунков иллюстрирует структурную эквивалентность. Что иллюстрирует второй рисунок?,Второй рисунок иллюстрирует регулярную эквивалентность.,tb
189,ОПК-2,В,"В таблице указана плотность узлов сети на рисунке. Восполните пробелы в таблице (слева направо, затем сверху вниз).","Пробелы в табице слева направо, затем сверху вниз: 1, 1, 1, 1.",tb
190,ОПК-2,В,Два из представленных рисунков иллюстрируют структурную эквивалентность и автоморфную эквивалентность. Что иллюстрирует третий рисунок?,Третий рисунок иллюстрирует регулярную эквивалентность.,tb
191,ОПК-2,У,"Возможный результат представлен ниже в матричном виде. Составьте получившуюся матрицу.[В этом вопросе ошибка, пропущен текст: В графе, показанном на рисунке, удалить дугу (х_3, х_2). Даём ответ с учётом этого.]","        x_1    x_2    x_3

x_1              1         1

x_2   1                     1

x_3   1",tb
192,ОПК-2,В,"В таблице указаны значения близости узлов сети на рисунке. Восполните пробелы в таблице (слева направо, затем сверху вниз).","Пробелы в табице слева направо, затем сверху вниз: 0.28, 0.29, 0.31, 0.34.",tb
193,ОПК-2,В,"В таблице указаны результаты применения алгоритма PageRank для сети на рисунке. Восполните пробелы в таблице (слева направо, затем сверху вниз).","Пробелы в табице слева направо, затем сверху вниз: 0.0877, 0.0344.",tb
194,ОПК-2,У,По матрице инциденций  найти полустепени захода для Х_2.,Полустепень захода для Х_2 равна 1.,tb
195,ОПК-2,У,"Какие вершины инцидентны дуге f в графе на рисунке? (введите числа; если чисел несколько, введите их через запятую без пробелов)",Инцидентны дуге f вершины 2 и 3.,tb
196,ОПК-2,В,Какая метрика иллюстрируется на рисунке (относительно сообществ узлов)?,На рисунке иллюстрируется метрика промежуточности.,tb
197,ОПК-2,У,"Для графа, изображенного на рисунке, дать описание перечислением. Укажите пропущенные индексы.",Пропущенный индекс: 4.,tb
198,ОПК-2,У,По матрицам смежности определить какие из графов являются полными.,Полными являются графы b и d.,tb
199,2k,,Назовите важнейшее значение принятия христианства на Руси в 988 г.:,повышение авторитета Великого Киевского князя и международного значения Киевской Руси,rb
200,2k,,Решите уравнение ,-3,rb
201,2k,,Какая из перечисленных физических величин имеет размерность  кг м2/ с2?,Момент силы,rb
202,2k,,При каком значении параметра \( A \)  прямая \( Ax 3y=6 \) будет параллельна прямой \( 2x y=10 \) .,6,rb
203,2k,,"Вычислить определитель матрицы A, если  . ",-6,rb
204,2k,,Найти точку пересечения плоскости \( 2x 3y 4z-12=0 \)  с осью \( Y \) . В ответе указать \( y \) - координату точки пересечения,4,rb
205,2k,,"Событие, вошедшее в историю как «стояние на реке Угре», привело к:",окончанию зависимости Руси от Золотой Орды,rb
206,2k,,Имеется функция \( y=f(x) \)Какая точка \( x \)  из отрезка \( [1;4] \)  является точкой максимума этой функции. Укажите правильный ответ.,3,rb
207,2k,,Тело движется по оси Х. Координата меняется в зависимости от времени по закону \( X(t)=2t^3-4t^2 3t 2 \) . Чему равна скорость при \( t=1 \) . Укажите правильный ответ.,1,rb
208,2k,,Намагниченность вещества численно равна …,магнитному моменту единицы объема вещества.,rb
209,2k,,Кого считают автором «Повести временных лет»?,монаха Нестора,rb
210,2k,,Производная непрерывной функции \( y=f(x) \)  положительна на отрезке \( [0;4] \). Тогда эта функция принимает наибольшее значение при \( x=? \) .Укажите   номер правильного ответа.,4,rb
211,2k,,Политическая раздробленность Руси в XII – XIV вв. привела к:,ослаблению ее обороноспособности,rb
212,2k,,Вычислить \( \lim_{x\to 0} \ \frac{sin2x}{x} \) . Укажите правильный ответ.,2,rb
213,2k,,В чем заключалась сущность нэпа:,в воссоздании многоукладной экономики при сохранении «командных высот» в руках партийно-государственного аппарата,rb
214,2k,,Магнетики – это вещества…,способные под действием магнитного поля приобретать магнитный момент,rb
215,2k,,Вычислить производную функции \( y=sin2x \) при \( x=0 \) . Укажите правильный ответ.,2,rb
216,2k,,Экономическая политика периода гражданской войны получила название…,«военный коммунизм»;,rb
217,2k,,"Если в некотором процессе работа совершённая газом равна подведённому к газу теплу, то такой процесс является…",изотермическим,rb
218,2k,,Крестьянская реформа 1861 г. привела к:,освобождению крестьян от личной зависимости от помещика и переходу к общинному землепользованию,rb
219,2k,,Укажите один из результатов революции 1905-1907 гг. в России:,создание Государственной Думы,rb
220,2k,,Холодная война ─,"идеологическое противостояние, гонка вооружений",rb
221,2k,,"Даны четыре пары векторов1) \( a= \lbrace{1;2;3}\rbrace, b= \lbrace{2;4;-6}\rbrace \)2) \( a= \lbrace{2;0;1}\rbrace, b= \lbrace{4;4;2}\rbrace \)3) \( a= \lbrace{12;8;4}\rbrace, b= \lbrace{9;6;3}\rbrace \)4) \( a= \lbrace{1;1;0}\rbrace, b= \lbrace{2;2;1}\rbrace \)Какая из этих пар является линейно-зависимой системой векторов. Укажите номер правильного ответа.",3,rb
222,2k,,Целью столыпинской аграрной реформы являлось(ась)…,создание широкого слоя крестьян-собственников,rb
223,2k,,Дано уравнение прямой на плоскости \( 2x 3y=C \). При каком значении параметра \( C \) эта прямая проходит через точку \( A \) с  координатами \( A(1;1) \).,5,rb
224,2k,,"Согласно второму закону Ньютона, действие на частицу с силой со стороны других частиц, является причиной …",изменения скорости частицы,rb
225,2k,,Линии напряженности электрического поля - это…,"линии, касательные к которым совпадают с направлением вектора напряженности электрического поля.",rb
226,2k,,"Если в некотором процессе работа совершённая газом равна подведённому к газу теплу, то такой процесс является…",изотермическим,rb
227,2k,,При политропическом процессе молярная теплоёмкость газа…,остаётся постоянной,rb
228,2k,,Первое упоминание о Москве встречается в летописи в:,1147 г.,rb
229,2k,,Какой из указанных ниже интегралов является несобственным.,  \int\limits_0^1 \frac{dx}{ \sqrt{x} } ,mb
230,2k,,"Вычислить определитель матрицы A, если   .",2,rb
231,2k,,"Кто возглавил II Ополчение, освободившее в 1612 г. Москву от поляков:",Минин и Пожарский; Трубецкой,rb
232,2k,,Правило Ленца:,"Изменение магнитного потока создает э.д.с., индуцирующую ток, противодействующий этому изменению.",rb
233,2k,,Церковная реформа середины ХVII в. была проведена:,патриархом Никоном,rb
234,2k,,Какую задачу решила Февральская революция в России в 1917 г.:,свергла царскую монархию и открыла широкую дорогу для развития демократии,rb
235,2k,,"На рисунке изображен график функции \( y=f(x) \) , заданной на интервале \( (-6;-2) \).Тогда на этом интервале выполняются неравенства:"," f(x)>0, f'(x)>0, f''(x)<0 ",mb
236,2k,,Какой государственный документ был принят в 1785г.?,«Жалованная грамота дворянству»,rb
237,2k,,Компоненты ускорения в декартовой системе координат равны…,вторым производным соответствующих координат по времени,rb
238,2k,,В каких системах отсчёта справедливы законы Ньютона?,В инерциальных системах,rb
239,2k,,При каком процессе молярная теплоёмкость газа равна бесконечности?,При изотермическом процессе,rb
240,2k,,Отмена крепостного права в России стало следствием:,"кризиса феодально-крепостнической системы, особенно остро обозначившегося в ходе Крымской войны",rb
241,2k,,Главный итог Московской битвы:,был сорван план «молниеносной войны» и развеян миф о непобедимости германской армии,rb
242,2k,,"Какая из представленных физических величин имеет единицу измерения, совпадающую с единицей измерения силы?",Вес,rb
243,2k,,Новым явлением в хозяйстве России в XVII в. было:,возникновение мануфактур;,rb
244,2k,,\( \int{sin2x}dx=f(x) \) Чему равна f(x). Укажите правильный ответ., f(x)= -\frac{1}{2}cos2x+C,mb
245,2k,,Беловежское соглашение 1991 г. о прекращении действия Союзного договора 1922 г. подписали:,"С.В. Шушкевич, Б.Н. Ельцин, Л.М. Кравчук",rb
246,2k,,"Из второго начала термодинамики следует, что …",энтропия изолированной термодинамической системы может только возрастать,rb
247,2k,,"Правление монархов, имевших неограниченную власть и проводивших политику, направленную на изменение наиболее устаревших порядков, называется:",просвещенным абсолютизмом,rb
248,2k,,Ускорение характеризует быстроту изменения…,скорости,rb
249,2k,,Период «Оттепели» связан с именем…,Н.С. Хрущева,rb
250,2k,,"Найти скалярное произведение векторов \( ( \vec{AB} \cdot \vec{AC}) \) , заданных точками \( А(-8;-6;-1), B(-7;4;-2), C(0;-1;1) \) .",56,rb
251,2k,,"Для системы материальных точек, находящихся под действием консервативных и неконсервативных сил, изменение полной механической энергии…",остаётся постоянным,rb
252,2k,,Какими новыми органами управления в 1802 г. были заменены петровские коллегии?,министерствами,rb
253,2k,,"Княгиня Ольга в X веке провела первую налоговую реформу на Руси. Размер дани, установленный княгиней Ольгой, назывался:",урок,rb
254,2k,,"Из второго начала термодинамики следует, что …",энтропия изолированной термодинамической системы может только возрастать,rb
255,2k,,В 1722 г. в России был принят закон о порядке прохождения государственной службы – «Табель о рангах». Какой принцип был первоначально заложен в основу этого документа?,"общественное положение определялось не происхождением, а чином;",rb
256,2k,,Когда было отменено крепостное право в России:,19 февраля 1861 г.,rb
257,2k,,Под руководством какого русского князя произошел разгром Мамаева войска 8 сентября 1380 г. на Куликовом поле:,Дмитрия Ивановича,rb
258,2k,,В чем суть экономической программы С.Ю. Витте?,"в осуществлении индустриализации России, в создании и развитии машинного производства, в укреплении кредитно-финансовой системы",rb
259,2k,,"Найти \( div \vec{F} \) , если \( \vec{F}= \lbrace{y-3x z; 3x 2z; 3y 2x}\rbrace \)  Укажите правильный ответ.",-3,rb
260,2k,,"Пусть \( x=(x_1,x_2,x_3) \) . Какое из преобразований A,B,C,D является линейным1) \( Ax=(5x_1-4x_2-3x_3, 2x_1-x_2, x_2 2) \)2) \( Bx=(5x_1-4x_2-3x_3,0, x_2^4 2x_3) \)3) \( Cx=(5x_1-4x_2-3x_3, 2x_1-x_2, x_2 2x_3) \)4) \( Dx=(5x_1, 2x_2, x_3 1) \)Укажите номер правильного ответа.",3,rb
261,2k,,"Пусть \( x=(x_1,x_2,x_3) \) . Преобразование \( A \) является линейным преобразованием вида \( Ax=(4x_1-3x_2-2x_3, x_1, x_1 2x_2 3x_3) \) . Какая из матриц является матрицей данного преобразованияУкажите   номер правильного ответа.",2,rb
262,2k,,Период одновременного существования двух видов государственной власти с марта до июля 1917 г. получил название?,двоевластие,rb
263,2k,,Вычислить определенный интеграл: \( \int\limits_{-1}^2 (2x-1) dx \) . Укажите правильный ответ.,0,rb
264,2k,,Курс руководства СССР с середины 1980-х гг. на модернизацию советской системы получил название…,перестройка,rb
265,2k-r,,"В ходе, какой битвы в ноябре 1942г. начался коренной перелом в ходе Великой Отечественной войны?",Сталинградская битва,wb
266,2k-r,,Кто был основателем первой правящей русской династии?,Рюрик,wb
267,2k-r,,"Как назывался верховный коллективный орган восточных славян, решавший жизненные важнейшие вопросы?",Вече,wb
268,2k-r,,Найти обратную матрицу к матрице ,https://i.ibb.co/SwdnHFH/img-1.png,pb
269,2k-r,,"Прочтите отрывок из книги историка и укажите императрицу, о которой идёт речь.«Ей пришла мысль расширить состав тех, кому была поручена судьба реформ, путём создания законодательной комиссии из представителей различных социальных групп и регионов страны. Это новое учреждение получило старое название Комиссии для сочинения проекта нового Уложения, или Уложенной комиссии. Она должна была состоять из выборных депутатов, которые к тому же должны были привезти с собой наказы своих избирателей. Сама [императрица] также не собиралась отказываться от роли просвещённой законодательницы. Для депутатов комиссии она написала собственный Наказ, в котором изложила свои представления о содержании и характере законов, которые необходимо было разработать».",Екатерина II,wb
270,2k-r,,Вычислить криволинейный интеграл по координатам \( \int\limits_l y^2dx 3x^3dy \) где l - дуга параболы \( y=2x^2 \) пробегаемая от т.О(0;0) до т.А(1;2),16/5,wb
271,2k-r,,Как изменится электроёмкость плоского воздушного конденсатора при увеличении площади его пластин в 2 раза и расстояния между ними в 4 раза?,уменьшится|2,vb
272,2k-r,,Какой заряд проходит через поперечное сечение контактного провода трамвайной сети за 2 с при силе тока 500 А?,1000,ib
273,2k-r,,"Ниже приведён перечень терминов. Все они, за исключением одного, относятся к событиям XIХ в.Корпус жандармов, суд присяжных, декабристы, стахановцы, железная дорога, народовольцы.Найдите и введите термин, относящийся к другому историческому периоду.",стахановцы,wb
274,2k-r,,Как изменяется модуль вектора момента импульса при равноускоренном движении материальной точки по окружности?,Модуль момента импульса|увеличивается,vb
275,2k-r,,"Как называлась политика поддержки собственного купечества и промышленности, проводившаяся Петром I?",Протекционизм,wb
276,2k-r,,"Множество \( \lbrace{ \alpha, 2 \alpha, \beta }\rbrace \), где \( \alpha, \beta \) - произвольные действительные числа,  является линейным подпространством в \( R^3 \). Определить его размерность. ",2,wb
277,2k-r,,"Прочтите отрывок из работы историков и напишите название города, об обороне которого идёт речь.«В целом в конце сентября – начале октября положение советских войск в [городе] оставалось весьма тяжёлым. Фашистские войска, захватив часть города, на ряде участков достигли Волги. Однако из-за возраставшего сопротивления защитников города, моральный дух и воля к победе которых не были сломлены, гитлеровцы продвинулись за 12 суток боёв… на направлении главного удара, в районе заводских посёлков, лишь на 400–600 м».",Сталинград,wb
278,2k-r,,Кто из лидеров белого движения занимал пост Верховного правителя России? В ответ записать фамилию. ,Колчак,wb
279,2k-r,,"При увеличении силы тока, проходящего через резистор, в 2 раза его сопротивление из-за нагрева уменьшилось вдвое. Как при этом изменилась мощность, выделяемая на сопротивлении?",увеличится|2,vb
280,2k-r,,"Как называлась комиссия, созванная Екатериной П для составления нового свода законов Российской империи?",Уложенная комиссия,wb
281,2k-r,,Какой высший сословный орган власти собирали цари в XVI-XVII вв. для решения важнейших дел в государстве?,Земский собор,wb
282,2k-r,,"Прочтите отрывок из статьи и укажите князя, о котором идёт речь.«[Он] был бережливым хозяином, старавшимся об увеличении своего княжества и своего богатства; в своём завещании он заботливо пересчитывает все купленные им сёла и золотые сосуды. На эту черту его указывает прозвище… – мешок с деньгами, скопидом… Важным событием в его княжение было переселение митрополита Петра из Владимира в Москву на постоянное жительство…»В ответ записать ИМЯ ФАМИЛИЯ",Иван Калита,wb
283,2k-r,,"Запишите термин, о котором идёт речь.«Общее название участников российского оппозиционного дворянского движения второй половины 1810-х – первой половины 1820-х гг., организовавших антиправительственное восстание во время решения вопроса о переходе власти к новому императору».",Декабристы,wb
284,2k-r,,"Тело бросили с начальной скорость 5,7 м/c под углом 300 к горизонту. Чему равен радиус кривизны траектории в точке бросания?","3,8",wb
285,2k-r,,"Найти координаты точки P, которая является  проекцией точки D(2;3;4) на плоскость \( x 2y 3z=6 \)",P(1;1;1),tb
286,2k-r,,Кто был главным идеологом прогрессивной экономической политики России в 1893-1903гг.? В ответ записать только фамилию. ,Витте,wb
287,2k-r,,На каком съезде партии Н.С. Хрущев выступал с докладом «О культе личности и его последствиях»?,XX,wb
288,2k-r,,Вычислить интеграл \( \int 6e^{3x 2}dx \),https://i.ibb.co/K2Bfn4h/img-2.png,pb
289,2k-r,,Два тонких прямых параллельных провода длиной по 1 м находятся в вакууме на расстоянии 1 м друг от друга. По проводам текут токи одного направления силой 1 А. Как и с какой силой провода взаимодействуют за счет магнитного взаимодействия токов?,"притягиваются|0,2",vb
290,2k-r,,"Пусть \( x=(x_1, x_2, x_3) \). Являются ли линейными преобразования A,B,C. Если преобразование  оказалось линейным, найти  его матрицу.\( Ax=(4x_1-3x_2-2x_3, x_1, x_1 2x_2^4 3x_3) \)\( Bx=(4x_1-3x_2-2x_3,x_1,x_1 2x_2 3x_3) \)\( Cx=(4x_1-3x_2-2x_3,x_1, x_1 2x_2 3) \)",https://i.ibb.co/ZXnt7Cq/img-3.png,pb
291,2k-r,,"Найти  \( rot \overrightarrow{F}, если \overrightarrow{F}= \lbrace{2x-y^2, xyz, z y}\rbrace \)",https://i.ibb.co/RhJH8yD/img-4.png,pb
292,2k-r,,Найти наибольшее значение функции \( y=x^3 6x^2 1 \) на отрезке [-1;2],33,wb
293,2k-r,,Определить среднее значение функции \( y=(2x-1)^3 \) на отрезке [2;3].,68,wb
294,2k-r,,Напишите имя и отчество первого Московского удельного князя?,Даниил Александрович,wb
295,2k-r,,"Прочтите отрывок из постановления Пленума ЦК ВКП(б) и напишите название политики, о проведении которой идёт речь.«Вся массово-политическая, организационно-партийная и воспитательная работа политических отделов МТС и совхозов должна быть направлена к тому, чтобы окончательно парализовать влияние классового врага в колхозе и совхозе и добиться преодоления мелкобуржуазных пережитков и собственнических тенденций вчерашнего единоличника-собственника, сегодняшнего колхозника».",Коллективизация,wb
296,2k-r,,При изобарном процессе концентрация идеального газа увеличилась в 9 раз. Как изменилась средняя кинетическая энергия молекул данной массы газа?,уменьшилась|9,vb
297,2k-r,,"Прочтите отрывок из документа и укажите термин, которым обозначается описанный процесс.«С июля по ноябрь 1941 г. на Урал, в Сибирь, Среднюю Азию и Казахстан было вывезено более 1500 промышленных предприятий. В тот же период по железным дорогам страны перевезено около 1,5 миллиона вагонов грузов. Эта чёткая работа позволила в кратчайшие сроки создать на востоке страны новую экономическую базу, которая обеспечила рост военного могущества Советского Союза и его победу».",Эвакуация,wb
298,2k-r,,В каком веке образовалось Древнерусское государство?,IX,wb
299,2k-r,,Когда Ю.А. Гагарин совершил первый в мире космический полет? Ответ записать в виде ДД.ММ.ГГГГ,12.04.1961,wb
300,2k-r,,Найти интервалы возрастания  функции \( y=2x^3-3x^2 1 \),https://i.ibb.co/k9BWQH3/img-5.png,pb
301,2k-r,,"Прочтите отрывок из источника XIII в. и назовите князя, о котором идёт речь.«И пошёл с братом своим Андреем и с новгородцами, и с суздальцами на немецкую землю с великой силой… Поставил войско на Узмени, у Вороньего камня, и, приготовившись к бою, пошёл против них. Войска сошлись на Чудском озере; было тех и других большое множество… И была здесь злая и великая сеча для немцев и чуди, и слышен был треск ломающихся копий и звук от ударов мечей, так что и лёд на замёрзшем озере подломился, и видно не было льда, потому что он покрылся кровью».В ответ записать ИМЯ ФАМИЛИЯ",Александр Невский,wb
302,2k-r,,Найти расстояние от прямой \( 4x 3y-20=0 \) до начала координат.,4,wb
303,2k-r,,"Найти площадь фигуры, ограниченной линиями: \( y=x^2-1, y=3 \)",32/3,tb
304,2k-r,,"Найти собственные значения линейного оператора, заданного матрицей:",2|5|6,ib
305,2k-r,,"Какой степени R пропорционален период обращения спутника Земли Т, движущегося по круговой орбите радиуса R. Ответ записать в виде десятичной дроби. ","1,5",wb
306,2k-r,,Линейный оператор A определяется матрицей  . Найти его наибольшее собственное значение \( \lambda \).,3,wb
307,2k-r,,"В сосуде неизменного объема находится идеальный газ в количестве 2 моль. Как надо изменить абсолютную температуру сосуда с газом при выпуске из сосуда 1 моля газа, чтобы давление газа на стенки сосуда увеличилось в 2 раза?",увеличить|4,vb
308,2k-r,,"Прочтите отрывок из сочинения историка и укажите императора, о котором идёт речь.«Вскоре после заключения мира… император… в беседе с представителями дворянства в Москве сообщил о своём намерении освободить крестьян и сказал свою знаменитую фразу: лучше отменить крепостное право сверху, нежели дожидаться того времени, когда оно само собою начнет отменяться снизу… В начале [следующего года] был учреждён Секретный комитет для подготовки реформы, а в ноябре… в рескрипте на имя виленского генерал-губернатора Назимова государь объявил о том, что крестьянская реформа должна быть осуществлена в ближайшем будущем».",Александр II,wb
309,2k-r,,Производная следующего выражения равна \( \frac{d}{dx}( \int_{0}^{x}{e^{-t^2}dt})=f(x) \),https://i.ibb.co/vHV8cTh/img-6.png,pb
310,2k-r,,"Найти матрицу, полученную перемножением матриц ",https://i.ibb.co/DkN4SHH/img-7.png,pb
311,2k-r,,"Запишите слово, о котором идёт речь.«Распространённое обозначение перемен в социальной и культурной жизни СССР, наметившихся после смерти И.В. Сталина, восходящее к названию повести И.Г. Эренбурга».",Оттепель,wb
312,2k-r,,Как назывался высший законосовещательный орган Российской империи в 1810-1917гг.?,Государственный Совет,wb
313,2k-r,,Как назывался созданный в1955г. военно-политический союз социалистических стран?,ОВД,wb
314,2k-r,,"Как изменится амплитуда колебаний ЭДС индукции, возникающей во вращающейся в магнитном поле проволочной рамке, при увеличении индукции магнитного поля в 2 раза и уменьшении угловой скорости вращения в 2 раза?",не изменится,vb
315,2k-r,,"Прочтите отрывок из рассказа современника, о каком событии идёт речь. «Хотя в то время в городе войск было мало, и город не был готов к обороне, но среди <них> находились испытанные, любимые адмиралы Нахимов и Корнилов, покрытые почестями и громкой славой. Их знал каждый мальчишка в городе, в них верили, на них надеялись, как на каменную стену. ""Морские богатыри не выдадут родного города, защитят и помогут в беде. Пока они здесь – не страшно севастопольцам"". Так думали все».

",Крымская война,vb
316,2k-r,,Вычислить определенный интеграл: \( \int_{0}^{ \pi }{xsinx}dx \)Ответ округлять до сотых. ,"3,14",wb
317,2k-r,,"Ниже приведён перечень терминов. Все они, за исключением одного, относятся к событиям XVIII – середины XIX в.Верховник, бироновщина, коллегия, министерство, ассамблея, винная монополия.Найдите и введите термин, относящийся к другому историческому периоду.",винная монополия,wb
318,2k-r,,"Прочтите отрывок из воспоминаний и укажите период Великой Отечественной войны, о котором идёт речь.«Все мы считали, что, исходя из политических, экономических и военно-стратегических соображений, гитлеровцы будут стремиться любой ценой удержаться на фронте от Финского залива до Азовского моря. Они могли хорошо оснастить свои войска на одном из стратегических направлений и подготовить крупную наступательную операцию в районе курского выступа, с тем чтобы попытаться разгромить здесь войска Центрального и Воронежского фронтов. Это могло бы изменить общую стратегическую обстановку в пользу немецких войск».",Курская битва,wb
319,2k-r,,"Запишите пропущенное слово.«Выборные политические организации рабочих и солдат России, возникшие в ходе Февральской революции 1917 г., называлисьОтветрабочих и солдатских депутатов».",советы,rb
320,2k-r,,"Множество матриц вида , где \( \alpha, \beta \) - произвольные действительные числа,  является линейным подпространством. Определить его размерность.",2,wb
321,2k-r,,Найти расстояние от плоскости \( 2x 2y z-24=0 \) до начала координат.,8,wb
322,2k-r,,"Преобразовать интеграл \( \int tg^3xdx \) с помощью замены переменной \( tgx=t \). (записать интеграл в преобразованном виде через переменную t, вычислять интеграл не нужно)",https://i.ibb.co/vddL4gD/img-8.png,pb
323,2k-r,,"Прочтите отрывок из документа и укажите, в каком году произошло описанное событие.«После того Александр поспешил напасть на врагов в шестом часу дня, и была сеча великая, и перебил их князь бесчисленное множество, а на лице самого короля оставил след острого копья своего. Проявили себя здесь шесть храбрых, как он, мужей из полка Александра. Первый – по имени Гаврило Олексич. Он напал на шнек и, увидев королевича, влекомого под руки, въехал до самого корабля по сходням, по которым бежали с королевичем; преследуемые им схватили Гаврилу Олексича и сбросили его со сходен вместе с конём. Но по Божьей милости он вышел из воды невредим, и снова напал на них, и бился с самой воеводою посреди их войска».В ответ записать год (Например, 1956)",1242,wb
